消费账号,接口密钥名称,消费接口,消费模型,消费金额,代金券后消费金额,输入消费数,输出消费数,总消费数,消费时间,消费结果
主账号,coding_plan,cache-read(Text API),MiniMax-M3-512k,0.0000,0.0000,138320,0,138320,2026-06-01 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M3-512k,0.0000,0.0000,302265,1797,304062,2026-06-01 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M3-512k,0.0000,0.0000,673409,0,673409,2026-06-01 21:00-22:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M3-512k,0.0000,0.0000,222722,40229,262951,2026-06-01 21:00-22:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M3-512k,0.0000,0.0000,64840,0,64840,2026-06-01 18:00-19:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M3-512k,0.0000,0.0000,66235,7339,73574,2026-06-01 18:00-19:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,3447,365,3812,2026-06-01 18:00-19:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-vlm,0.0000,0.0000,1,0,1,2026-06-01 18:00-19:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,664192,0,664192,2026-06-01 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,95763,712,96475,2026-06-01 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,560753,0,560753,2026-05-31 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,70037,9933,79970,2026-05-31 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,67808,0,67808,2026-05-28 15:00-16:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,38273,2712,40985,2026-05-28 15:00-16:00,SUCCESS
